views,likes,dislikes,comments_disabled,ratings_disabled,video_error_or_removed,No_tags,desc_len,len_title,days_to_trend,prime_time_publish,weekend_publish,channel_cluster_1,channel_cluster_2,channel_cluster_3,channel_cluster_4,category_id_1,category_id_10,category_id_15,category_id_17,category_id_19,category_id_2,category_id_20,category_id_22,category_id_23,category_id_24,category_id_25,category_id_26,category_id_27,category_id_28,category_id_29,category_id_30,category_id_43
1096327,33966,798,False,False,False,15,920,81,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590101,735,904,True,False,False,19,2232,58,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
473988,2011,243,False,False,False,14,482,58,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1242680,70353,1624,False,False,False,20,263,30,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
464015,492,293,False,False,False,11,753,88,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6106669,98612,4185,False,False,False,22,449,91,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5718766,127477,7134,False,False,False,18,1411,96,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10588371,132738,8812,False,False,False,26,1299,96,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118223,520,53,False,False,False,21,509,97,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
969030,59798,1545,False,False,False,23,477,34,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
632747,4330,2183,False,False,False,23,99,78,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2348107,32834,710,False,False,False,22,2093,83,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156085,716,53,True,False,False,20,858,85,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
472413,2611,250,False,False,False,12,1351,92,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
836006,24460,180,False,False,False,25,2387,88,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89531,238,59,False,False,False,28,171,85,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
344545,25717,417,False,False,False,11,248,35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35885754,829362,61195,False,False,False,22,901,63,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209599,14070,448,False,False,False,30,201,68,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2418783,97187,6146,False,False,False,4,630,62,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2294242,14960,1361,False,False,False,13,1466,97,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1956925,9504,938,False,False,False,29,356,82,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
387221,2159,1214,False,False,False,18,472,33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176472,588,52,False,False,False,3,480,49,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
238637,7975,368,False,False,False,7,426,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85432,114,91,False,False,False,28,534,54,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
249423,7861,68,False,False,False,21,394,86,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256199,318,123,False,False,False,20,1570,100,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137438,3926,249,False,False,False,8,804,47,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
261202,1971,126,False,False,False,22,292,42,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
655660,8505,868,False,False,False,15,380,73,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
423009,1514,347,False,False,False,7,829,100,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33533,0,0,False,True,False,14,219,53,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75834,160,15,False,False,False,13,536,87,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156063,5406,534,False,False,False,22,1723,96,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1287771,52194,253,False,False,False,21,739,79,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56430,244,94,False,False,False,24,693,87,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793778,21956,1590,False,False,False,35,1262,49,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
309490,1560,200,False,False,False,33,223,94,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
334780,1307,230,False,False,False,12,66,60,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23932,0,0,False,True,False,18,869,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54861,247,20,False,False,False,28,110,58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1174353,20095,2517,False,False,False,16,547,41,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127517,3676,381,False,False,False,14,1158,98,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
255707,2267,121,False,False,False,21,631,74,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97522,838,189,False,False,False,24,595,89,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
692359,2523,618,False,False,False,7,526,91,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47352,2240,31,False,False,False,72,1751,89,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114466,1580,163,False,False,False,16,330,94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109594,790,189,False,False,False,10,436,97,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103239,7191,91,False,False,False,25,1600,48,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150806,1311,508,False,False,False,24,508,74,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
170707,1152,178,False,False,False,14,3172,51,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77888,889,75,False,False,False,18,1277,99,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
